word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,freq
calculate,0,0,0,0,0,0,0,0,0,0,1
conversational,0,0,0,0,0,0,1,0,0,0,1
cyclical,0,0,0,0,0,0,0,0,0,0,1
substance,0,0,0,0,0,0,1,0,0,0,1
unwillingness,0,0,0,0,0,1,0,0,0,0,1
pretensions,0,0,0,0,0,1,0,0,0,0,1
elaborate,0,0,0,0,0,0,0,0,0,0,1
deferring,0,0,0,0,0,0,0,0,0,0,1
unfriendly,1,0,1,1,0,1,0,1,0,0,1
controversy,0,0,0,0,0,1,0,0,0,0,1
etiology,0,0,0,0,0,0,0,0,0,0,1
menu,0,0,0,0,0,0,0,0,0,0,1
transfixed,0,0,0,0,0,0,0,0,0,0,1
spin,0,0,0,0,0,0,0,0,0,0,1
military,0,0,0,1,0,0,0,0,0,0,1
spotty,0,0,0,0,0,0,0,0,0,0,1
cancellation,0,0,0,0,0,0,0,0,0,0,1
missing,0,0,0,1,0,1,0,1,0,0,1
criticism,1,0,0,0,0,1,0,1,0,0,1
golden,0,0,0,0,0,0,0,0,0,0,1
topography,0,0,0,0,0,0,0,0,0,0,1
divide,0,0,0,0,0,0,0,0,0,0,1
classification,0,0,0,0,0,0,0,0,0,0,1
precincts,0,0,0,0,0,0,0,0,0,0,1
lengthen,0,0,0,0,0,0,0,0,0,0,1
replace,0,0,0,0,0,0,0,0,0,0,1
psychological,0,0,0,0,0,0,0,0,0,0,1
remnant,0,0,0,0,0,0,0,0,0,0,1
stern,0,0,0,0,0,1,0,0,0,0,1
unearned,0,0,0,0,0,0,0,0,0,0,1
cocaine,0,0,0,0,0,1,0,1,0,0,1
unit,0,0,0,0,0,0,0,0,0,0,1
mote,0,0,0,0,0,0,0,0,0,0,1
apportionment,0,0,0,0,0,0,0,0,0,0,1
snip,0,0,0,0,0,0,0,0,0,0,1
tardiness,0,0,0,0,0,1,0,0,0,0,1
insecurity,0,0,0,1,0,1,0,0,0,0,1
regurgitation,0,0,1,0,0,0,0,0,0,0,1
impartiality,0,0,0,0,0,0,1,0,0,1,1
exhort,0,0,0,0,0,0,1,0,0,0,1
cannibal,0,0,1,1,0,1,0,0,0,0,1
escarpment,0,0,0,0,0,0,0,0,0,0,1
symphony,0,1,0,0,1,0,1,0,0,0,1
music,0,0,0,0,1,0,1,1,0,0,1
bedrock,0,0,0,0,0,0,1,0,0,1,1
passport,0,0,0,0,0,0,0,0,0,0,1
violently,1,0,1,1,0,1,0,1,0,0,1
strike,1,0,0,0,0,1,0,0,0,0,1
holy,0,0,0,0,0,0,1,0,0,0,1
waxy,0,0,0,0,0,0,0,0,0,0,1
successful,0,1,0,0,1,0,1,0,0,1,1
hypocritical,0,0,1,0,0,1,0,0,0,0,1
sortie,0,0,0,1,0,1,0,0,0,0,1
hurt,1,0,0,1,0,1,0,1,0,0,1
pointedly,0,0,0,0,0,0,1,0,0,0,1
glass,0,0,0,0,0,0,0,0,0,0,1
wildcat,0,0,0,0,0,1,0,0,0,0,1
hurl,0,0,0,0,0,0,0,0,0,0,1
hole,0,0,0,0,0,0,0,0,0,0,1
hold,0,0,0,0,0,0,0,0,0,0,1
unpack,0,0,0,0,0,0,0,0,0,0,1
sway,0,0,0,0,0,0,0,0,0,0,1
famed,0,0,0,0,0,0,0,0,0,0,1
accomplishment,0,0,0,0,0,0,1,0,0,0,1
wade,0,0,0,0,0,0,0,0,0,0,1
straddle,0,0,0,0,0,0,0,0,0,0,1
locker,0,0,0,0,0,0,0,0,0,0,1
exhale,0,0,0,0,0,0,0,0,0,0,1
centralization,0,0,0,0,0,0,0,0,0,0,1
tomahawk,0,0,0,0,0,0,0,0,0,0,1
wand,0,0,0,0,0,0,0,0,0,0,1
wane,0,0,0,0,0,1,0,1,0,0,1
unjust,1,0,0,0,0,1,0,0,0,0,1
household,0,0,0,0,0,0,1,0,0,0,1
artillery,0,0,0,1,0,1,0,0,0,0,1
organized,0,0,0,0,0,0,1,0,0,0,1
swivel,0,0,0,0,0,0,0,0,0,0,1
pandemic,0,0,0,1,0,1,0,1,0,0,1
currency,0,0,0,0,0,0,0,0,0,0,1
malign,1,0,1,0,0,1,0,0,0,0,1
caution,1,1,0,1,0,1,0,0,0,0,1
cookery,0,0,0,0,0,0,0,0,0,0,1
absolute,0,0,0,0,0,0,1,0,0,0,1
hog,0,0,1,0,0,1,0,0,0,0,1
hoe,0,0,0,0,0,0,0,0,0,0,1
hob,0,0,0,0,0,0,0,0,0,0,1
stifling,0,0,0,0,0,0,0,0,0,0,1
travel,0,0,0,0,0,0,0,0,0,0,1
copious,0,0,0,0,0,0,0,0,0,0,1
revisit,0,0,0,0,0,0,0,0,0,0,1
machine,0,0,0,0,0,0,0,0,0,1,1
hot,1,0,0,0,0,0,0,0,0,0,1
hop,0,0,0,0,0,0,0,0,0,0,1
significance,0,0,0,0,0,0,0,0,0,0,1
cheetah,0,0,0,0,0,0,0,0,0,0,1
cadence,0,0,0,0,0,0,0,0,0,0,1
fanaticism,0,0,0,1,0,0,0,0,0,0,1
credential,0,0,0,0,0,0,1,0,0,1,1
abstraction,0,0,0,0,0,0,0,0,0,0,1
beauty,0,0,0,0,1,0,1,0,0,0,1
modulation,0,0,0,0,0,0,0,0,0,0,1
stainless,0,0,0,0,0,0,1,0,0,0,1
diagram,0,0,0,0,0,0,0,0,0,0,1
modest,0,0,0,0,0,0,1,0,0,1,1
destined,0,1,0,0,0,0,0,0,0,0,1
turf,0,0,0,0,0,0,0,0,0,0,1
pigment,0,0,0,0,0,0,0,0,0,0,1
unselfish,0,0,0,0,0,0,1,0,0,0,1
promotion,0,0,0,0,0,0,1,0,0,0,1
recital,0,0,0,0,0,0,0,0,0,0,1
effective,0,0,0,0,0,0,1,0,0,1,1
scourge,1,0,0,1,0,1,0,1,0,0,1
recombination,0,1,0,0,0,0,0,0,0,0,1
seduce,0,0,0,0,0,1,0,0,0,0,1
revolt,1,0,0,0,0,1,0,0,1,0,1
headquarters,0,0,0,0,0,0,0,0,0,0,1
memento,0,0,0,0,0,0,1,0,0,0,1
baggage,0,0,0,0,0,0,0,0,0,0,1
perpetrator,1,0,1,1,0,1,0,1,0,0,1
nonsensical,0,0,0,0,0,1,0,1,0,0,1
wing,0,0,0,0,0,0,0,0,0,0,1
squint,0,0,0,0,0,0,0,0,0,0,1
rawhide,0,0,0,0,0,0,0,0,0,0,1
restriction,1,0,0,1,0,1,0,1,0,0,1
welcomed,0,0,0,0,1,0,1,0,0,0,1
concurrence,0,0,0,0,0,0,0,0,0,0,1
govern,0,0,0,0,0,0,1,0,0,1,1
prohibition,0,0,0,0,0,1,0,0,0,0,1
intangible,0,0,0,0,0,0,0,0,0,0,1
butcher,1,0,1,1,0,1,0,0,0,0,1
fidelity,0,0,0,0,1,0,1,0,0,1,1
wrought,0,0,0,0,0,1,0,0,0,0,1
dreamer,0,0,0,0,0,0,0,0,0,0,1
superstar,0,0,0,0,1,0,1,0,0,1,1
auditory,0,0,0,0,0,0,0,0,0,0,1
unforeseen,0,0,0,0,0,0,0,0,1,0,1
heretofore,0,0,0,0,0,0,0,0,0,0,1
fix,0,0,0,0,0,0,0,0,0,0,1
unexplained,0,1,0,0,0,1,0,1,0,0,1
fib,1,0,0,0,0,1,0,0,0,0,1
distinguishing,0,0,0,0,0,0,0,0,0,0,1
vast,0,0,0,0,0,0,0,0,0,0,1
omitted,0,0,0,0,0,0,0,0,0,0,1
hidden,0,0,0,0,0,1,0,0,0,0,1
admirable,0,0,0,0,1,0,1,0,0,1,1
virtually,0,0,0,0,0,0,0,0,0,0,1
glorify,0,1,0,0,1,0,1,0,1,1,1
grievous,1,0,0,1,0,1,0,1,0,0,1
copying,0,0,0,0,0,0,0,0,0,0,1
enrich,0,0,0,0,0,0,1,0,0,0,1
slate,0,0,0,0,0,0,1,0,0,0,1
subcutaneous,0,0,0,0,0,0,0,0,0,0,1
commemorate,0,1,0,0,1,0,1,1,0,0,1
renunciation,0,0,0,0,0,1,0,0,0,0,1
detachment,0,0,0,0,0,1,0,0,0,0,1
effects,0,0,0,0,0,0,0,0,0,0,1
interrupt,1,0,0,0,0,1,0,0,1,0,1
mimicking,0,0,0,0,0,0,0,0,0,0,1
undeveloped,0,0,0,0,0,0,0,0,0,0,1
silver,0,0,0,0,0,0,0,0,0,0,1
structural,0,0,0,0,0,0,0,0,0,1,1
acme,0,0,0,0,0,0,0,0,0,0,1
seamstress,0,0,0,0,0,0,0,0,0,0,1
debut,0,0,0,0,0,0,0,0,0,0,1
dumps,1,0,0,0,0,1,0,1,0,0,1
disconnection,0,0,0,0,0,1,0,0,0,0,1
spotless,0,0,0,0,0,0,1,0,0,1,1
averse,1,0,1,1,0,1,0,0,0,0,1
volcano,0,0,0,1,0,1,0,0,1,0,1
expectancy,0,1,0,0,0,0,0,0,0,0,1
burial,1,0,0,1,0,1,0,1,0,0,1
whim,0,1,0,0,1,1,0,0,1,0,1
financial,0,0,0,0,0,0,0,0,0,0,1
rink,0,0,0,0,0,0,0,0,0,0,1
concord,0,0,0,0,0,0,1,0,0,1,1
garment,0,0,0,0,0,0,0,0,0,0,1
displacement,0,0,0,0,0,0,0,0,0,0,1
bowls,0,0,0,0,0,0,0,0,0,0,1
solution,0,0,0,0,0,0,1,0,0,0,1
contracting,0,0,0,0,0,0,0,0,0,0,1
whiz,0,0,0,0,0,0,0,0,0,0,1
rind,0,0,0,0,0,0,0,0,0,0,1
substantially,0,0,0,0,0,0,0,0,0,0,1
ameliorate,0,0,0,0,0,0,1,0,0,0,1
allay,0,0,0,0,0,0,1,0,0,0,1
blinded,0,0,0,0,0,1,0,0,0,0,1
backgammon,0,0,0,0,0,0,0,0,0,0,1
toleration,0,0,0,0,0,0,1,0,0,0,1
misfortune,0,0,0,1,0,1,0,1,0,0,1
trending,0,0,0,0,0,0,0,0,0,0,1
diction,0,0,0,0,0,0,0,0,0,0,1
unholy,0,0,0,1,0,1,0,0,0,0,1
smirk,0,0,0,0,0,1,0,0,0,0,1
waive,0,0,0,0,0,0,0,0,0,0,1
excepting,0,0,0,0,0,0,0,0,0,0,1
gradation,0,0,0,0,0,0,0,0,0,0,1
mason,0,0,0,0,0,0,0,0,0,0,1
combinatorial,0,0,0,0,0,0,0,0,0,0,1
encourage,0,0,0,0,1,0,1,0,0,1,1
studded,0,0,0,0,0,0,0,0,0,0,1
adapt,0,0,0,0,0,0,1,0,0,0,1
mend,0,0,0,0,0,0,0,0,0,0,1
strategist,0,1,0,0,0,0,1,0,0,1,1
outburst,1,0,0,1,1,1,1,1,1,0,1
foundation,0,0,0,0,0,0,1,0,0,0,1
assured,0,0,0,0,0,0,1,0,0,1,1
deformity,0,0,1,1,0,1,0,1,0,0,1
fugitive,1,0,1,1,0,1,0,1,0,1,1
sensory,0,0,0,0,0,0,0,0,0,0,1
faculties,0,0,0,0,0,0,0,0,0,0,1
grapes,0,0,0,0,0,0,0,0,0,0,1
estimate,0,0,0,0,0,0,0,0,0,0,1
knit,0,0,0,0,0,0,0,0,0,0,1
molded,0,0,0,0,0,0,0,0,0,0,1
mimic,0,0,0,0,0,0,0,0,0,0,1
entomology,0,0,0,0,0,0,0,0,0,0,1
piecemeal,0,0,0,0,0,0,0,0,0,0,1
washout,0,0,0,0,0,0,0,0,0,0,1
secularism,0,0,0,0,0,0,0,0,0,0,1
moment,0,0,0,0,0,0,0,0,0,0,1
shelved,0,0,0,0,0,1,0,0,0,0,1
hydrographic,0,0,0,0,0,0,0,0,0,0,1
disturbed,1,0,0,0,0,1,0,1,0,0,1
speedy,0,0,0,0,0,0,1,0,0,0,1
tempting,0,0,0,0,0,0,0,0,0,0,1
loudness,1,0,0,0,0,1,0,0,0,0,1
symbolize,0,0,0,0,0,0,0,0,0,0,1
purpose,0,0,0,0,0,0,0,0,0,0,1
trillion,0,0,0,0,0,0,0,0,0,0,1
angelic,0,0,0,0,1,0,1,0,0,1,1
hearsay,0,0,0,0,0,1,0,0,0,0,1
reinvestment,0,0,0,0,0,0,0,0,0,0,1
disfigured,1,0,1,1,0,1,0,1,0,0,1
goggle,0,0,0,0,0,0,0,0,0,0,1
misplace,1,0,1,0,0,1,0,0,0,0,1
wash,0,0,0,0,0,0,0,0,0,0,1
instruct,0,0,0,0,0,0,1,0,0,1,1
chevron,0,0,0,0,0,0,0,0,0,0,1
clarity,0,0,0,0,0,0,0,0,0,0,1
basketball,0,1,0,0,1,0,1,0,0,0,1
suitable,0,0,0,0,0,0,1,0,0,0,1
renovated,0,0,0,0,0,0,0,0,0,0,1
betrothed,0,1,0,0,1,0,1,0,0,1,1
forsooth,0,0,0,0,0,0,0,0,0,0,1
engagement,0,0,0,0,0,0,0,0,0,0,1
bourse,0,0,0,0,0,0,0,0,0,0,1
stack,0,0,0,0,0,0,0,0,0,0,1
master,0,0,0,0,0,0,1,0,0,0,1
infamous,1,0,1,1,0,1,0,0,0,0,1
hypothetical,0,0,0,0,0,0,0,0,0,0,1
underlie,0,0,0,0,0,0,0,0,0,0,1
architect,0,0,0,0,0,0,0,0,0,0,1
critter,0,0,1,0,0,0,0,0,0,0,1
legs,0,0,0,0,0,0,0,0,0,0,1
genesis,0,0,0,0,0,0,0,0,0,0,1
listen,0,0,0,0,0,0,0,0,0,0,1
oeuvre,0,0,0,0,0,0,0,0,0,0,1
shambles,0,0,0,0,0,1,0,0,0,0,1
collapse,0,0,1,1,0,1,0,1,0,0,1
heretic,0,0,1,0,0,1,0,0,0,0,1
fibrous,0,0,0,0,0,0,0,0,0,0,1
convention,0,0,0,0,0,0,1,0,0,0,1
stake,0,0,0,0,0,0,0,0,0,0,1
wisdom,0,0,0,0,0,0,1,0,0,1,1
advisement,0,0,0,0,0,0,0,0,0,0,1
swish,0,0,0,0,0,0,0,0,0,0,1
mutilated,0,0,1,0,0,1,0,0,0,0,1
chairwoman,0,0,0,0,0,0,1,0,0,1,1
palsy,0,0,1,1,0,1,0,1,0,0,1
sulphur,0,0,0,0,0,0,0,0,0,0,1
zany,0,0,0,0,0,0,0,0,1,0,1
crawl,0,0,1,0,0,1,0,0,0,0,1
subduction,0,0,0,0,0,0,0,0,0,0,1
trek,0,0,0,0,0,0,0,0,0,0,1
peril,0,1,0,1,0,1,0,1,0,0,1
coward,0,0,1,1,0,1,0,1,0,0,1
surrogate,0,0,0,0,0,0,0,0,0,1,1
iteration,0,0,0,0,0,0,0,0,0,0,1
project,0,0,0,0,0,0,0,0,0,0,1
pneumonia,0,0,0,1,0,1,0,0,0,0,1
idle,0,0,0,0,0,0,0,0,0,0,1
tutelage,0,0,0,0,0,0,1,0,0,1,1
endure,0,0,0,0,0,0,1,0,0,0,1
seminary,0,0,0,0,0,0,0,0,0,0,1
feeling,1,1,1,1,1,1,1,1,1,1,1
acquisition,0,0,0,0,0,0,0,0,0,0,1
unintended,0,0,0,0,0,0,0,0,1,0,1
entail,0,0,0,0,0,0,0,0,0,0,1
willingness,0,0,0,0,0,0,1,0,0,0,1
hue,0,0,0,0,0,0,0,0,0,0,1
runner,0,0,0,0,0,0,0,0,0,0,1
boston,0,0,0,0,0,0,0,0,0,0,1
wealth,0,0,0,0,1,0,1,0,0,1,1
spectrum,0,0,0,0,0,0,0,0,0,0,1
untrained,0,0,0,0,0,1,0,0,0,0,1
antagonistic,1,0,1,0,0,1,0,0,0,0,1
headland,0,0,0,0,0,0,0,0,0,0,1
increment,0,0,0,0,0,0,0,0,0,0,1
arousal,0,0,0,0,0,0,0,0,0,0,1
quay,0,0,0,0,0,0,0,0,0,0,1
tale,0,0,0,0,0,0,1,0,0,0,1
dozen,0,0,0,0,0,0,0,0,0,0,1
sterile,0,0,0,0,0,1,0,1,0,0,1
wholesome,0,0,0,0,0,0,1,0,0,1,1
escalator,0,0,0,0,0,0,0,0,0,0,1
mythical,0,0,0,0,0,0,0,0,0,0,1
manger,0,0,0,0,0,0,0,0,0,0,1
responsible,0,0,0,0,0,0,1,0,0,1,1
primed,0,0,0,0,0,0,0,0,0,0,1
toothed,0,0,0,0,0,0,0,0,0,0,1
absorbed,0,0,0,0,0,0,1,0,0,0,1
amusing,0,0,0,0,1,0,1,0,0,0,1
season,0,0,0,0,0,0,0,0,0,0,1
imprudent,0,0,0,0,0,1,0,1,0,0,1
jammed,0,0,0,0,0,0,0,0,0,0,1
limitless,0,0,0,0,0,0,0,0,0,0,1
looming,0,0,0,0,0,0,0,0,0,0,1
victoria,0,0,0,0,0,0,0,0,0,0,1
doit,0,0,0,0,0,1,0,0,0,0,1
disjointed,0,0,0,0,0,0,0,0,0,0,1
affirmation,0,0,0,0,0,0,1,0,0,0,1
mouth,0,0,0,0,0,0,0,0,1,0,1
letter,0,1,0,0,0,0,0,0,0,0,1
organization,0,1,0,0,1,0,1,0,1,1,1
retaining,0,0,0,0,0,0,0,0,0,0,1
drought,0,0,0,0,0,1,0,0,0,0,1
transverse,0,0,0,0,0,0,0,0,0,0,1
airship,0,0,0,0,0,0,0,0,0,0,1
morality,0,0,0,0,0,0,1,0,0,1,1
expound,0,0,0,0,0,0,0,0,0,0,1
dummy,0,0,0,0,0,1,0,0,0,0,1
singer,0,0,0,0,0,0,0,0,0,0,1
episode,0,0,0,0,0,0,0,0,0,0,1
grove,0,0,0,0,0,0,0,0,0,0,1
professor,0,0,0,0,0,0,1,0,0,1,1
camp,0,0,0,0,0,0,0,0,0,0,1
rotary,0,0,0,0,0,0,0,0,0,0,1
nettle,1,0,1,0,0,1,0,0,0,0,1
consummate,0,0,0,0,0,0,1,0,0,0,1
prevention,0,1,0,0,0,0,1,0,0,0,1
detriment,0,0,0,0,0,1,0,0,0,0,1
scream,1,0,1,1,0,1,0,0,1,0,1
confederation,0,0,0,0,0,0,0,0,0,0,1
marvel,0,0,0,0,0,0,1,0,1,0,1
incorporate,0,0,0,0,0,0,0,0,0,0,1
bomb,1,0,0,1,0,1,0,1,1,0,1
tempera,0,0,0,0,0,0,0,0,0,0,1
undue,0,0,0,0,0,0,0,0,0,0,1
soluble,0,0,0,0,0,0,0,0,0,0,1
fennel,0,0,0,0,0,0,0,0,0,0,1
gauge,0,0,0,0,0,0,0,0,0,0,1
malleable,0,0,0,0,0,0,0,0,0,0,1
ulcer,1,0,1,1,0,1,0,1,0,0,1
participate,0,0,0,0,0,0,0,0,0,0,1
lethal,0,0,1,1,0,1,0,1,0,0,1
caper,0,0,0,0,0,0,0,0,0,0,1
apace,0,0,0,0,0,0,0,0,0,0,1
busy,0,0,0,0,0,0,0,0,0,0,1
excavator,0,0,0,0,0,0,0,0,0,0,1
itinerant,0,0,0,0,0,0,0,0,0,0,1
headline,0,0,0,0,0,0,0,0,0,0,1
buss,0,0,0,0,1,0,1,0,0,0,1
underpants,0,0,0,0,0,0,0,0,0,0,1
buxom,0,0,0,0,0,0,1,0,0,0,1
bust,0,0,0,0,0,0,0,0,0,0,1
maturation,0,0,0,0,0,0,0,0,0,0,1
cougar,0,0,0,0,0,0,0,0,0,0,1
bush,0,0,0,0,0,0,0,0,0,0,1
bliss,0,0,0,0,1,0,1,0,0,0,1
rick,0,0,0,0,0,0,0,0,0,0,1
instrumentalist,0,0,0,0,0,0,0,0,0,0,1
heartily,0,0,0,0,1,0,1,0,0,0,1
rice,0,0,0,0,0,0,0,0,0,0,1
plate,0,0,0,0,0,0,0,0,0,0,1
inoperative,1,0,0,0,0,1,0,0,0,0,1
denounce,1,0,1,0,0,1,0,0,0,0,1
pocket,0,0,0,0,0,0,0,0,0,0,1
cushion,0,0,0,0,0,0,1,0,0,0,1
altogether,0,0,0,0,0,0,0,0,0,0,1
aroma,0,0,0,0,0,0,1,0,0,0,1
chutney,0,0,0,0,0,0,0,0,0,0,1
volatility,1,1,0,1,0,1,0,0,1,0,1
jaguar,0,0,0,0,0,0,0,0,0,0,1
avenger,1,0,0,0,0,1,0,0,0,0,1
tights,0,0,0,0,0,0,0,0,0,0,1
boarder,0,0,0,0,0,0,0,0,0,0,1
patch,0,0,0,0,0,1,0,0,0,0,1
flanked,0,0,0,0,0,0,0,0,0,0,1
adherence,0,0,0,0,0,0,0,0,0,0,1
hasten,0,0,0,0,0,0,0,0,0,0,1
obligatory,0,0,0,0,0,0,0,0,0,0,1
atomic,0,0,0,0,0,0,0,0,0,0,1
respond,0,0,0,0,0,0,0,0,0,0,1
traverse,0,0,0,0,0,0,0,0,0,0,1
disaster,1,0,1,1,0,1,0,1,1,0,1
fair,0,0,0,0,0,0,1,0,0,0,1
heirloom,0,0,0,0,0,0,0,0,0,0,1
expediency,0,0,0,0,0,0,0,0,0,0,1
consummation,0,0,0,0,0,0,0,0,0,0,1
radium,0,0,0,0,0,0,0,0,0,0,1
transferred,0,0,0,0,0,0,0,0,0,0,1
unexpectedly,0,0,0,0,0,0,0,0,1,0,1
subtlety,0,0,0,0,0,0,0,0,0,0,1
radius,0,0,0,0,0,0,0,0,0,0,1
result,0,1,0,0,0,0,0,0,0,0,1
hero,0,1,0,0,1,0,1,0,1,1,1
fain,0,1,0,0,1,0,1,0,0,1,1
nocturnal,0,0,0,0,0,0,0,0,0,0,1
clef,0,0,0,0,0,0,0,0,0,0,1
oceanic,0,0,0,0,0,0,0,0,0,0,1
moron,0,0,0,0,0,1,0,0,0,0,1
lots,0,0,0,0,0,0,0,0,0,0,1
solace,0,0,0,0,0,0,1,0,0,0,1
stealthy,0,1,0,1,0,1,0,0,1,0,1
partition,0,0,0,0,0,0,0,0,0,0,1
score,0,1,0,0,1,0,1,0,1,0,1
scorn,1,0,0,0,0,1,0,0,0,0,1
timber,0,0,0,0,0,0,0,0,0,0,1
counsel,0,0,0,0,0,0,1,0,0,1,1
preserve,0,0,0,0,0,0,1,0,0,0,1
claws,0,0,0,0,0,0,0,0,0,0,1
splinter,0,0,0,0,0,1,0,0,0,0,1
extend,0,0,0,0,0,0,1,0,0,0,1
nature,0,0,0,0,0,0,0,0,0,0,1
felony,0,0,0,0,0,1,0,0,0,0,1
superficial,0,0,0,0,0,1,0,0,0,0,1
tufted,0,0,0,0,0,0,0,0,0,0,1
souvenir,0,0,0,0,0,0,0,0,0,0,1
extent,0,0,0,0,0,0,0,0,0,0,1
butane,0,0,0,0,0,0,0,0,0,0,1
carbon,0,0,0,0,0,0,0,0,0,0,1
angling,0,1,0,0,0,1,0,0,0,0,1
roller,0,0,0,0,0,0,0,0,0,0,1
goblet,0,0,0,0,0,0,0,0,0,0,1
pity,0,0,0,0,0,0,0,1,0,0,1
accident,0,0,0,1,0,1,0,1,1,0,1
